20160211141552 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2016-02-11T15:03:52Z        2900        1397         1503       0.25(0.52)      18(7)             0             0        23711         28772            1        1041         698
2016-02-11T15:04:12Z        2901        1395         1506       0.15(0.52)       9(7)             0             1        17964         28772            1        1039         697
2016-02-11T15:04:32Z        2959        1447         1512        0.3(0.52)      25(7)             0             0        24480         28772            1        1036         723
2016-02-11T15:04:52Z        2960        1444         1516        0.2(0.52)      22(7)             0             0        18944         28772            1        1033         722
2016-02-11T15:05:12Z        2962        1442         1520        0.2(0.51)      18(7)             0             1        23079         28772            1        1031         721
2016-02-11T15:05:32Z        3074        1549         1525       0.25(0.51)      23(7)             0             0        20067         28772            1        1028         774
2016-02-11T15:05:52Z        3076        1545         1531        0.3(0.51)      19(7)             0             0        23137         28772            1        1026         772
2016-02-11T15:06:12Z        3076        1542         1534       0.15(0.51)      16(8)             0             1        23603         28772            1        1024         771
2016-02-11T15:06:32Z        3076        1537         1539       0.25(0.51)      25(8)             0             0        24230         28772            1        1021         768
2016-02-11T15:06:52Z        3076        1532         1544        0.25(0.5)      16(8)             0             1        24969         28772            1        1019         766
2016-02-11T15:07:12Z        3076        1526         1550         0.3(0.5)      28(8)             0             0        25728         28772            1        1016         763
2016-02-11T15:07:32Z        3076        1521         1555        0.25(0.5)      20(8)             0             0        18232         28772            1        1014         760
2016-02-11T15:07:52Z        3076        1515         1561         0.3(0.5)      26(8)             0             0        19025         28772            1        1011         757
2016-02-11T15:08:12Z        3076        1510         1566        0.25(0.5)      23(8)             0             1        19788         28772            1        1009         755
2016-02-11T15:08:32Z        3076        1504         1572         0.3(0.5)      24(8)             0             1        20557         28772            1        1006         752
2016-02-11T15:08:52Z        3076        1499         1577        0.25(0.5)      23(8)             0             0        21165         28772            1        1004         749
2016-02-11T15:09:12Z        3076        1494         1582       0.25(0.49)      40(9)             0             2        21964         28772            1        1002         747
2016-02-11T15:09:32Z        3076        1488         1588        0.3(0.49)      31(9)             0             1        22722         28772            1         999         744
2016-02-11T15:09:52Z        3076        1485         1591       0.15(0.49)      16(9)             0             1        23141         28772            1         997         742
2016-02-11T15:10:12Z        3170        1574         1596       0.25(0.49)       8(9)             0             1        18460         28772            1        1088         787
2016-02-11T15:10:32Z        3170        1566         1604        0.4(0.49)      12(9)             0             0        19436         28772            1        1083         783
2016-02-11T15:10:52Z        3174        1561         1613       0.45(0.49)       7(9)             0             1        23870         28772            1        1078         780
2016-02-11T15:11:12Z        3234        1611         1623        0.5(0.49)      11(9)             0             1        22416         28772            1        1073         805
2016-02-11T15:11:32Z        3237        1605         1632       0.45(0.49)      13(9)             0             0        21112         28772            1        1067         802
2016-02-11T15:11:52Z        3240        1600         1640        0.4(0.49)      12(9)             0             0        19719         28772            1        1062         800
2016-02-11T15:12:12Z        3297        1650         1647       0.35(0.49)       9(9)             0             0        24740         28772            1        1057         825
